ENSMUSG00000051951.6,465597.0,1.0,3.0
ENSMUSG00000025900.14,409684.0,1.0,2.0
ENSMUSG00000025902.14,6423.0,3.0,10.0
ENSMUSG00000033845.14,12533.0,3.0,8.0
ENSMUSG00000025903.15,40622.0,4.0,17.0
ENSMUSG00000104217.2,78878.0,,
ENSMUSG00000033813.16,40095.0,1.0,8.0
ENSMUSG00000002459.18,160709.0,2.0,7.0
ENSMUSG00000033793.13,92511.0,1.0,3.0
ENSMUSG00000025905.15,17665.0,2.0,7.0
ENSMUSG00000033774.5,3691.0,,
ENSMUSG00000025907.15,70451.0,1.0,24.0
ENSMUSG00000087247.4,35513.0,1.0,5.0
ENSMUSG00000033740.18,373709.0,5.0,32.0
ENSMUSG00000051285.18,84708.0,1.0,6.0
ENSMUSG00000025909.17,938404.0,3.0,6.0
ENSMUSG00000061024.9,2047.0,,
ENSMUSG00000025911.15,32725.0,1.0,14.0
ENSMUSG00000067879.4,25944.0,1.0,6.0
ENSMUSG00000025912.17,32794.0,1.0,16.0
ENSMUSG00000045210.9,29760.0,1.0,3.0
ENSMUSG00000025915.15,102738.0,4.0,23.0
ENSMUSG00000046101.17,33447.0,1.0,10.0
ENSMUSG00000099032.3,7769.0,,
ENSMUSG00000025916.11,40512.0,1.0,9.0
ENSMUSG00000025917.10,13567.0,1.0,8.0
ENSMUSG00000056763.17,98781.0,6.0,41.0
ENSMUSG00000067851.12,95099.0,,
ENSMUSG00000042501.13,395225.0,1.0,11.0
ENSMUSG00000048960.14,310216.0,1.0,40.0
ENSMUSG00000057715.14,561796.0,3.0,12.0
ENSMUSG00000016918.16,168915.0,4.0,28.0
ENSMUSG00000025938.17,126101.0,2.0,3.0
ENSMUSG00000042414.8,13706.0,1.0,8.0
ENSMUSG00000005886.15,234978.0,2.0,24.0
ENSMUSG00000025935.11,25212.0,1.0,11.0
ENSMUSG00000025937.7,37216.0,1.0,7.0
ENSMUSG00000067813.4,32952.0,1.0,4.0
ENSMUSG00000025932.15,141281.0,3.0,8.0
ENSMUSG00000025930.7,2646.0,1.0,2.0
ENSMUSG00000032769.6,46214.0,1.0,27.0
ENSMUSG00000092083.5,436496.0,1.0,2.0
ENSMUSG00000025925.15,38406.0,2.0,12.0
ENSMUSG00000032719.5,38860.0,1.0,5.0
ENSMUSG00000067795.14,27346.0,1.0,3.0
ENSMUSG00000043716.14,3367.0,1.0,7.0
ENSMUSG00000025921.8,27960.0,1.0,6.0
ENSMUSG00000025920.20,291438.0,4.0,19.0
ENSMUSG00000025939.20,78699.0,2.0,10.0
ENSMUSG00000079658.10,15317.0,4.0,11.0
ENSMUSG00000025940.7,13068.0,2.0,6.0
ENSMUSG00000025779.11,21560.0,2.0,8.0
ENSMUSG00000042686.6,133329.0,1.0,5.0
ENSMUSG00000025777.9,18909.0,1.0,6.0
ENSMUSG00000067780.4,29038.0,1.0,6.0
ENSMUSG00000025776.14,39299.0,2.0,17.0
ENSMUSG00000025774.15,30711.0,3.0,12.0
ENSMUSG00000073735.2,970.0,1.0,2.0
ENSMUSG00000067773.7,14158.0,2.0,4.0
ENSMUSG00000042596.8,63324.0,1.0,8.0
ENSMUSG00000025927.14,29662.0,3.0,12.0
ENSMUSG00000043760.17,560285.0,1.0,67.0
ENSMUSG00000025929.5,3591.0,1.0,3.0
ENSMUSG00000041872.10,13471.0,1.0,3.0
ENSMUSG00000041859.11,17344.0,1.0,17.0
ENSMUSG00000025931.16,49044.0,3.0,8.0
ENSMUSG00000041809.6,39215.0,1.0,11.0
ENSMUSG00000041779.6,82930.0,1.0,11.0
ENSMUSG00000025933.16,11592.0,2.0,7.0
ENSMUSG00000025934.16,25072.0,1.0,7.0
ENSMUSG00000067750.4,2559.0,1.0,3.0
ENSMUSG00000041722.8,2514.0,1.0,3.0
ENSMUSG00000085079.4,2817.0,1.0,3.0
ENSMUSG00000028033.17,563539.0,2.0,17.0
ENSMUSG00000041670.20,488728.0,1.0,2.0
ENSMUSG00000073730.3,1780.0,,
ENSMUSG00000026158.12,31348.0,1.0,7.0
ENSMUSG00000026156.9,87405.0,3.0,9.0
ENSMUSG00000026155.14,77471.0,2.0,12.0
ENSMUSG00000026154.5,9717.0,1.0,3.0
ENSMUSG00000026153.16,89248.0,,
ENSMUSG00000026147.17,75074.0,2.0,39.0
ENSMUSG00000026141.14,325582.0,2.0,53.0
ENSMUSG00000073725.9,87671.0,3.0,20.0
ENSMUSG00000033569.18,762231.0,3.0,19.0
ENSMUSG00000073722.4,5646.0,1.0,2.0
ENSMUSG00000048411.5,4135.0,1.0,2.0
ENSMUSG00000048874.16,71582.0,1.0,2.0
ENSMUSG00000026064.17,9007.0,,
ENSMUSG00000117310.3,9468.0,2.0,5.0
ENSMUSG00000117091.2,725.0,,
ENSMUSG00000086727.9,224842.0,1.0,4.0
ENSMUSG00000050217.14,28324.0,1.0,5.0
ENSMUSG00000026063.5,1450.0,,
ENSMUSG00000026058.12,485854.0,4.0,15.0
ENSMUSG00000091318.3,3608.0,,
ENSMUSG00000026134.12,215985.0,1.0,14.0
ENSMUSG00000004768.15,22677.0,2.0,10.0
ENSMUSG00000042215.9,12311.0,2.0,5.0
ENSMUSG00000042197.14,53050.0,2.0,17.0
ENSMUSG00000042182.17,55764.0,3.0,9.0
ENSMUSG00000026131.21,400436.0,5.0,10.0
ENSMUSG00000042111.10,3002.0,1.0,5.0
ENSMUSG00000026127.14,9505.0,1.0,9.0
ENSMUSG00000026126.16,15971.0,2.0,17.0
ENSMUSG00000026125.10,4653.0,1.0,5.0
ENSMUSG00000026124.5,8665.0,1.0,6.0
ENSMUSG00000037529.14,16975.0,1.0,5.0
ENSMUSG00000045174.11,11287.0,1.0,2.0
ENSMUSG00000037509.22,135121.0,1.0,2.0
ENSMUSG00000118272.2,170.0,,
ENSMUSG00000037503.13,29846.0,2.0,4.0
ENSMUSG00000026123.12,29604.0,2.0,10.0
ENSMUSG00000045216.8,38046.0,1.0,2.0
ENSMUSG00000037470.15,104693.0,1.0,41.0
ENSMUSG00000047180.9,10082.0,1.0,4.0
ENSMUSG00000037447.17,16296.0,5.0,15.0
ENSMUSG00000010453.13,33451.0,3.0,27.0
ENSMUSG00000037432.16,49819.0,1.0,53.0
ENSMUSG00000001143.14,25400.0,1.0,8.0
ENSMUSG00000037408.11,37144.0,1.0,7.0
ENSMUSG00000001138.14,16370.0,1.0,9.0
ENSMUSG00000067653.13,6695.0,3.0,12.0
ENSMUSG00000109510.2,9236.0,1.0,3.0
ENSMUSG00000079610.10,9938.0,2.0,7.0
ENSMUSG00000026121.14,9710.0,2.0,2.0
ENSMUSG00000046337.18,120491.0,1.0,1.0
ENSMUSG00000061518.12,2232.0,1.0,3.0
ENSMUSG00000037351.10,16308.0,1.0,11.0
ENSMUSG00000102416.5,47804.0,1.0,9.0
ENSMUSG00000026117.11,21020.0,1.0,13.0
ENSMUSG00000026116.12,151475.0,1.0,41.0
ENSMUSG00000050122.20,161017.0,3.0,13.0
ENSMUSG00000026114.15,48950.0,1.0,2.0
ENSMUSG00000026113.18,110871.0,3.0,5.0
ENSMUSG00000026112.8,13019.0,1.0,3.0
ENSMUSG00000026111.16,8985.0,2.0,8.0
ENSMUSG00000026110.16,101676.0,4.0,21.0
ENSMUSG00000026090.17,108408.0,1.0,10.0
ENSMUSG00000060771.16,111653.0,6.0,28.0
ENSMUSG00000037216.6,4490.0,1.0,2.0
ENSMUSG00000026088.16,15610.0,2.0,10.0
ENSMUSG00000026087.12,8058.0,3.0,10.0
ENSMUSG00000061584.7,10570.0,1.0,6.0
ENSMUSG00000026085.12,11023.0,1.0,3.0
ENSMUSG00000058407.13,12704.0,5.0,13.0
ENSMUSG00000026083.13,57569.0,1.0,24.0
ENSMUSG00000026082.12,77015.0,1.0,23.0
ENSMUSG00000037138.19,487629.0,,
ENSMUSG00000048814.12,43066.0,1.0,2.0
ENSMUSG00000026080.15,34294.0,3.0,11.0
ENSMUSG00000067604.9,11127.0,1.0,10.0
ENSMUSG00000026078.11,11630.0,1.0,6.0
ENSMUSG00000026077.16,169505.0,1.0,21.0
ENSMUSG00000073702.12,4069.0,5.0,13.0
ENSMUSG00000003134.11,107263.0,2.0,22.0
ENSMUSG00000003135.16,11897.0,2.0,10.0
ENSMUSG00000048234.14,26109.0,2.0,9.0
ENSMUSG00000050967.6,33068.0,1.0,4.0
ENSMUSG00000057173.9,55696.0,1.0,15.0
ENSMUSG00000091937.4,1184.0,1.0,2.0
ENSMUSG00000026074.16,125397.0,3.0,7.0
ENSMUSG00000026073.14,51152.0,1.0,9.0
ENSMUSG00000026072.13,92177.0,2.0,13.0
ENSMUSG00000070942.9,42952.0,2.0,13.0
ENSMUSG00000026069.16,35845.0,4.0,16.0
ENSMUSG00000026070.16,35302.0,3.0,14.0
ENSMUSG00000026068.12,36343.0,1.0,13.0
ENSMUSG00000026065.9,50644.0,1.0,12.0
ENSMUSG00000026062.13,88699.0,2.0,14.0
ENSMUSG00000041945.13,18649.0,1.0,6.0
ENSMUSG00000079588.4,51286.0,1.0,5.0
ENSMUSG00000045515.5,8251.0,,
ENSMUSG00000060679.15,54450.0,1.0,11.0
ENSMUSG00000041907.10,82584.0,1.0,2.0
ENSMUSG00000070939.10,51437.0,2.0,15.0
ENSMUSG00000010290.8,17237.0,1.0,4.0
ENSMUSG00000008136.15,73910.0,2.0,8.0
ENSMUSG00000066877.12,125936.0,1.0,5.0
ENSMUSG00000026051.9,11976.0,1.0,4.0
ENSMUSG00000057363.13,80834.0,1.0,15.0
ENSMUSG00000041763.15,69353.0,2.0,32.0
ENSMUSG00000047343.5,10626.0,1.0,5.0
ENSMUSG00000091844.3,23874.0,,
ENSMUSG00000026049.12,15828.0,6.0,18.0
ENSMUSG00000026047.14,12262.0,2.0,11.0
ENSMUSG00000041684.12,25813.0,2.0,13.0
ENSMUSG00000026048.17,33516.0,1.0,15.0
ENSMUSG00000046828.4,14891.0,1.0,5.0
ENSMUSG00000056870.10,245327.0,2.0,13.0
ENSMUSG00000026043.19,38168.0,1.0,51.0
ENSMUSG00000026042.17,128961.0,1.0,54.0
ENSMUSG00000025995.17,28453.0,1.0,21.0
ENSMUSG00000025993.11,18455.0,1.0,8.0
ENSMUSG00000041144.13,307235.0,,
ENSMUSG00000101337.7,381884.0,1.0,2.0
ENSMUSG00000025986.7,85308.0,1.0,10.0
ENSMUSG00000026109.15,286623.0,2.0,17.0
ENSMUSG00000045954.8,13834.0,1.0,2.0
ENSMUSG00000026107.12,12563.0,5.0,14.0
ENSMUSG00000018417.15,166306.0,2.0,33.0
ENSMUSG00000062939.12,120041.0,2.0,27.0
ENSMUSG00000026104.15,42425.0,4.0,14.0
ENSMUSG00000026103.15,69784.0,1.0,2.0
ENSMUSG00000002881.15,43385.0,1.0,2.0
ENSMUSG00000043015.16,21216.0,,
ENSMUSG00000041439.16,71176.0,1.0,1.0
ENSMUSG00000026102.10,32261.0,1.0,6.0
ENSMUSG00000041426.13,76057.0,1.0,4.0
ENSMUSG00000043629.13,97855.0,6.0,11.0
ENSMUSG00000026100.7,6439.0,1.0,3.0
ENSMUSG00000060715.10,29059.0,2.0,12.0
ENSMUSG00000026098.14,107831.0,1.0,13.0
