chr1	943899	0.926
chr1	959206	0
chr1	964954	0.008
chr1	1054815	0.01
chr1	1091463	0.02
chr1	1116051	0.932
chr1	1184960	0.51
chr1	1213974	0.213
chr1	1231883	0.914
chr1	1273490	0.866
chr1	1273657	0.18
chr1	1291245	0
chr1	1303153	0.038
chr1	1307760	0.061
chr1	1324572	0.008
chr1	1348887	0.95
chr1	1358447	0.451
chr1	1390757	0.049
chr1	1399010	0.946
chr1	1468375	0
chr1	1495476	0
chr1	1630283	0.159
chr1	1658905	0.028
chr1	1724249	0.004
chr1	1778280	0.374
chr1	1778737	0.028
chr1	1890811	0.687
chr1	1917138	0.2
chr1	1918244	0.563
chr1	1919173	0.87
chr1	2029542	0.001
chr1	2029974	0.002
chr1	2306568	0.56
chr1	2391449	0.002
chr1	2403026	0.284
chr1	2412382	0.941
chr1	2503608	0.531
chr1	2526455	0.197
chr1	2561485	0.008
chr1	2563139	0
chr1	2589401	0.001
chr1	2629322	0.082
chr1	2789494	0.001
chr1	2801568	0.065
chr1	3433668	0.076
chr1	3433725	0.949
chr1	3531071	0.616
chr1	3611129	0.3
chr1	3649922	0.774
chr1	3795853	0.22
chr1	3856880	0.005
chr1	3857319	0.004
chr1	3860411	0.039
chr1	3883498	0.592
chr1	4777392	0.001
chr1	4782536	0.989
chr1	5992235	0.937
chr1	6179936	0.963
chr1	6197643	0.6
chr1	6219227	0.008
chr1	6235708	0.556
chr1	6260816	0.102
chr1	6454425	0.998
chr1	6466060	0.186
chr1	6554098	0
chr1	6578644	0.922
chr1	6588907	0.001
chr1	6621402	0.013
chr1	6632787	0.804
chr1	6634011	0.003
chr1	6701720	0.719
chr1	7779617	0.012
chr1	7803683	0.484
chr1	7842663	0.474
chr1	7940775	0.01
chr1	7943130	0.005
chr1	8423552	0.01
chr1	8525750	0.941
chr1	8655964	0.003
chr1	8817151	0.998
chr1	8951414	0.109
chr1	8974338	0
chr1	8974613	0.03
chr1	9026286	0.94
chr1	9128636	0.012
chr1	9582290	0.71
chr1	9602060	0.015
chr1	9612977	0.001
chr1	9823634	0.089
chr1	9942615	0.029
chr1	9943340	0.954
chr1	9981247	0.026
chr1	10015773	0.001
chr1	10072445	0
chr1	10179886	0.035
chr1	10376536	0.035
chr1	10419621	0.047
chr1	10472314	0.021
chr1	10982003	0.048
chr1	11022115	0.998
chr1	11047194	0.021
chr1	11059768	0.923
chr1	11099712	0.043
chr1	11130520	0.059
chr1	11194845	0.875
chr1	11262436	0.337
chr1	11536315	0.001
chr1	11654310	0.158
chr1	11673606	0.003
chr1	11691404	0.557
chr1	11719575	0.007
chr1	11789261	0.003
chr1	11796197	0.541
chr1	11803396	0.825
chr1	11805879	0.031
chr1	11838526	0.011
chr1	11840134	0.066
chr1	11974644	0.01
chr1	12011487	0.48
chr1	12014248	0.6
chr1	12031713	0.025
chr1	12142278	0.881
chr1	12192339	0.003
chr1	12206731	0.173
chr1	12617145	0.183
chr1	12725213	0.109
chr1	13178562	0
chr1	13262541	0.003
chr1	13308320	0.012
chr1	13321694	0.001
chr1	13347048	0.001
chr1	13823150	0.995
chr1	14304581	0.836
chr1	15065621	0.047
chr1	15114462	0.034
chr1	15329337	0.013
chr1	15397288	0.004
chr1	15428584	0.001
chr1	15446566	0.063
chr1	15471981	0.092
chr1	15491286	0.223
chr1	15524060	0.001
chr1	15524574	0.009
chr1	15567769	0.095
chr1	15574751	0.559
chr1	15584687	0.029
chr1	15733788	0.02
chr1	15739215	0.719
chr1	15747537	0.038
chr1	15774609	0.02
chr1	15784539	0.013
chr1	15939287	0.004
chr1	15975974	0.309
chr1	16033602	0.957
chr1	16056860	0.984
chr1	16057178	0.003
chr1	16073412	0.739
chr1	16155839	0.22
chr1	16212493	0.996
chr1	16236622	0.297
chr1	16352246	0.801
chr1	16431234	0.095
chr1	16437119	0.848
chr1	16972351	0.044
chr1	16978228	0.328
chr1	16980578	0.409
chr1	17011720	0.076
chr1	17053939	0.022
chr1	17119271	0.099
chr1	17244001	0.001
chr1	17282837	0.006
chr1	17334315	0.041
chr1	17401196	0.001
